song,artist,album_cover_url
"""Slut!"" (Taylor'S Version) (From The Vault)",Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735cc1de8fa9b7c2f27af04958
(Don'T Fear) The Reaper,Blue Öyster Cult,https://i.scdn.co/image/ab67616d0000b2733ac318439ae56ce048d7bf5d
(There'S No Place Like) Home For The Holidays - 1959 Version,Perry Como,https://i.scdn.co/image/ab67616d0000b2738b73946056c94e40928046cb
16 Carriages,Beyoncé,https://i.scdn.co/image/ab67616d0000b273f5220893852002a2a3078bab
2 Hands,Tate Mcrae,https://i.scdn.co/image/ab67616d0000b2733b53b3afd0c28613b964769e
28,Zach Bryan,https://i.scdn.co/image/ab67616d0000b273647ad18a07e9e939e399e5a1
3001,J. Cole,https://i.scdn.co/image/ab67616d0000b273b5e99d6177971707e6cd04f5
360,Charli Xcx,https://i.scdn.co/image/ab67616d0000b27388e3822cccfb8f2832c70c2e
3D (Feat. Jack Harlow),"Jack Harlow, Jung Kook",https://i.scdn.co/image/ab67616d0000b273409a2d7bd4b2238e4aaa7bf5
500Lbs,Lil Tecca,https://i.scdn.co/image/ab67616d0000b273c4e6adea69105e6b6e214b96
505,Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b273b1f8da74f225fa1225cdface
57,"Dfzm, Feid, Karol G",https://i.scdn.co/image/ab67616d0000b27387b21ca2759eef29c30dff00
7 Minute Drill,J. Cole,https://i.scdn.co/image/ab67616d0000b273b5e99d6177971707e6cd04f5
7969 Santa,Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
8Am In Charlotte,Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
A Bar Song (Tipsy),Shaboozey,https://i.scdn.co/image/ab67616d0000b27380d86d636244b72a3a1eede2
A Holly Jolly Christmas,Burl Ives,https://i.scdn.co/image/ab67616d0000b273efe2a536761d4f8e8401ae62
A Night To Remember,"Beabadoobee, Laufey",https://i.scdn.co/image/ab67616d0000b27303ea1900840b8804f779f7b3
Abracadabra (Feat. Travis Scott),Young Thug,https://i.scdn.co/image/ab67616d0000b273777850f1e77fd525fc6a782f
Acho Pr,Bad Bunny,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec
Act Ii: Date @ 8,4Batz,https://i.scdn.co/image/ab67616d0000b273aa22e6a9258dcc425a4a5019
Act Ii: Date @ 8 (Feat. Drake) - Remix,"4Batz, Drake",https://i.scdn.co/image/ab67616d0000b273612543615ab7c221057cbf10
Adivino,"Bad Bunny, Myke Towers",https://i.scdn.co/image/ab67616d0000b273b41f34aa51be675c5cfd3d94
