song,artist,album_cover_url
(Don'T Fear) The Reaper,Blue Öyster Cult,https://i.scdn.co/image/ab67616d0000b2733ac318439ae56ce048d7bf5d
(There'S No Place Like) Home For The Holidays - 1959 Version,Perry Como,https://i.scdn.co/image/ab67616d0000b2738b73946056c94e40928046cb
28,Zach Bryan,https://i.scdn.co/image/ab67616d0000b273647ad18a07e9e939e399e5a1
3001,J. Cole,https://i.scdn.co/image/ab67616d0000b273b5e99d6177971707e6cd04f5
500Lbs,Lil Tecca,https://i.scdn.co/image/ab67616d0000b273c4e6adea69105e6b6e214b96
57,"Dfzm, Feid, Karol G",https://i.scdn.co/image/ab67616d0000b27387b21ca2759eef29c30dff00
A Night To Remember,"Beabadoobee, Laufey",https://i.scdn.co/image/ab67616d0000b27303ea1900840b8804f779f7b3
Abracadabra (Feat. Travis Scott),Young Thug,https://i.scdn.co/image/ab67616d0000b273777850f1e77fd525fc6a782f
Acho Pr,Bad Bunny,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec
Act Ii: Date @ 8,4Batz,https://i.scdn.co/image/ab67616d0000b273aa22e6a9258dcc425a4a5019
Adivino,"Bad Bunny, Myke Towers",https://i.scdn.co/image/ab67616d0000b273b41f34aa51be675c5cfd3d94
Ain'T No Love,"Future, Metro Boomin",https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8
Ain'T No Love In Oklahoma (From Twisters: The Album),Luke Combs,https://i.scdn.co/image/ab67616d0000b2736d3ae3fef242d973449211f6
All Alone,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69
All Summer Long,Kid Rock,https://i.scdn.co/image/ab67616d0000b273a3473085a2a48547a5c290a8
All The Stars (With Sza),"Kendrick Lamar, Sza",https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888
"All The Way Live (Spider-Man: Across The Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",Metro Boomin,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f
American Girl,Tom Petty And The Heartbreakers,https://i.scdn.co/image/ab67616d0000b2737e42a53ea7f2ad4f36ab23a5
American Kids,Kenny Chesney,https://i.scdn.co/image/ab67616d0000b2730dafd3fe4c2795f4ffb5a2ea
American Nights,Zach Bryan,https://i.scdn.co/image/ab67616d0000b273647ad18a07e9e939e399e5a1
American Pie,Don Mclean,https://i.scdn.co/image/ab67616d0000b2730085dd4362653ef4c54ebbeb
Amg,"Gabito Ballesteros, Natanael Cano, Peso Pluma",https://i.scdn.co/image/ab67616d0000b273fbf10e7799f39fbcd301e55a
Amped,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69
