song,artist,album_cover_url
"""Slut!"" (Taylor'S Version) (From The Vault)",Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735cc1de8fa9b7c2f27af04958
(It Goes Like) Nanana - Edit,Peggy Gou,https://i.scdn.co/image/ab67616d0000b2739a8459318ff1a68ecfd74522
(Sittin' On) The Dock Of The Bay,Otis Redding,https://i.scdn.co/image/ab67616d0000b2730acddc8ccf8d14858fbeddf5
0800 Heaven,"Ella Henderson, Joel Corry, Nathan Dawe",https://i.scdn.co/image/ab67616d0000b273249d3bd8f8a9908fa42a6d93
16 Carriages,Beyoncé,https://i.scdn.co/image/ab67616d0000b273f5220893852002a2a3078bab
2 Hands,Tate Mcrae,https://i.scdn.co/image/ab67616d0000b2733b53b3afd0c28613b964769e
2000 Miles - 2007 Remaster,Pretenders,https://i.scdn.co/image/ab67616d0000b2735436a01d3b621036889cffe6
360,Charli Xcx,https://i.scdn.co/image/ab67616d0000b27388e3822cccfb8f2832c70c2e
365 Featuring Shygirl,Charli Xcx,https://i.scdn.co/image/ab67616d0000b27355a1e72ba425c60a02a9bb47
3D (Feat. Jack Harlow),"Jack Harlow, Jung Kook",https://i.scdn.co/image/ab67616d0000b273409a2d7bd4b2238e4aaa7bf5
505,Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90
6 In The Morning (Feat. Nate Dogg),"Flex (Uk), Nate Dogg",https://i.scdn.co/image/ab67616d0000b2737bf551768073fb54b6af9115
7 Minute Drill,J. Cole,https://i.scdn.co/image/ab67616d0000b273b5e99d6177971707e6cd04f5
7969 Santa,Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
8Am In Charlotte,Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
A Bar Song (Tipsy),Shaboozey,https://i.scdn.co/image/ab67616d0000b27380d86d636244b72a3a1eede2
A Holly Jolly Christmas,Burl Ives,https://i.scdn.co/image/ab67616d0000b273efe2a536761d4f8e8401ae62
A Sky Full Of Stars,Coldplay,https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf
Act Ii: Date @ 8 (Feat. Drake) - Remix,"4Batz, Drake",https://i.scdn.co/image/ab67616d0000b273612543615ab7c221057cbf10
Adore U,"Fred Again.., Obongjayar",https://i.scdn.co/image/ab67616d0000b273f14e70dbc29485778e114039
Afraid To Feel,Lf System,https://i.scdn.co/image/ab67616d0000b273ced808ef1567eaf901041438
Agora Hills,Doja Cat,https://i.scdn.co/image/ab67616d0000b273a840032f14ab22da396e43cb
Ain'T No Mountain High Enough,"Marvin Gaye, Tammi Terrell",https://i.scdn.co/image/ab67616d0000b2739173e50e99bdea2400222f02
Ain'T No Sunshine,Bill Withers,https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce
Alibi (Feat. Rudimental),"Ella Henderson, Rudimental",https://i.scdn.co/image/ab67616d0000b2739e3b2d14dee8000a862c941e
All I Want For Christmas Is You,Mariah Carey,https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f
All My Life (Feat. J. Cole),"J. Cole, Lil Durk",https://i.scdn.co/image/ab67616d0000b2737c173b0dc64913d4635e3594
All Of Me,21 Savage,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347
All Red,Playboi Carti,https://i.scdn.co/image/ab67616d0000b273ca15942c726ec9c39796435e
All The Parties (Feat. Chief Keef),Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
All You Had To Do Was Stay (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735cc1de8fa9b7c2f27af04958
All-American Bitch,Olivia Rodrigo,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
Alliigator Tears,Beyoncé,https://i.scdn.co/image/ab67616d0000b2737d673fc006936df22215aee1
"Am I Dreaming (Metro Boomin & A$Ap Rocky, Roisee)",Metro Boomin,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f
Amen (Feat. Teezo Touchdown),Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
America Has A Problem (Feat. Kendrick Lamar),"Beyoncé, Kendrick Lamar",https://i.scdn.co/image/ab67616d0000b27378643be90cd7c5ec75675855
American Town,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b2736317464f614654da5d8a58eb
Ameriican Requiem,Beyoncé,https://i.scdn.co/image/ab67616d0000b2737d673fc006936df22215aee1
Angel Numbers / Ten Toes,Chris Brown,https://i.scdn.co/image/ab67616d0000b273649d02a68c64fd203c183e54
Angel Of My Dreams,Jade,https://i.scdn.co/image/ab67616d0000b2730eea8e9f9c55fbecbca82734
Another Late Night (Feat. Lil Yachty),Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
Another Love,Tom Odell,https://i.scdn.co/image/ab67616d0000b2731b51f809c31f0d98f67c0b7d
